value,location_id,date,province_id,autonomous_region_id,_id
8752,39075,2005-05,39,6,39075/2005-05-01
8357,39075,2005-06,39,6,39075/2005-06-01
8054,39075,2005-07,39,6,39075/2005-07-01
7912,39075,2005-08,39,6,39075/2005-08-01
8026,39075,2005-09,39,6,39075/2005-09-01
8416,39075,2005-10,39,6,39075/2005-10-01
8370,39075,2005-11,39,6,39075/2005-11-01
8289,39075,2005-12,39,6,39075/2005-12-01
8910,39075,2006-01,39,6,39075/2006-01-01
8841,39075,2006-02,39,6,39075/2006-02-01
8499,39075,2006-03,39,6,39075/2006-03-01
8156,39075,2006-04,39,6,39075/2006-04-01
7631,39075,2006-05,39,6,39075/2006-05-01
7213,39075,2006-06,39,6,39075/2006-06-01
6868,39075,2006-07,39,6,39075/2006-07-01
6881,39075,2006-08,39,6,39075/2006-08-01
6989,39075,2006-09,39,6,39075/2006-09-01
7165,39075,2006-10,39,6,39075/2006-10-01
7240,39075,2006-11,39,6,39075/2006-11-01
7314,39075,2006-12,39,6,39075/2006-12-01
7734,39075,2007-01,39,6,39075/2007-01-01
7708,39075,2007-02,39,6,39075/2007-02-01
7549,39075,2007-03,39,6,39075/2007-03-01
7301,39075,2007-04,39,6,39075/2007-04-01
6911,39075,2007-05,39,6,39075/2007-05-01
6604,39075,2007-06,39,6,39075/2007-06-01
6455,39075,2007-07,39,6,39075/2007-07-01
6646,39075,2007-08,39,6,39075/2007-08-01
6661,39075,2007-09,39,6,39075/2007-09-01
6999,39075,2007-10,39,6,39075/2007-10-01
7129,39075,2007-11,39,6,39075/2007-11-01
7211,39075,2007-12,39,6,39075/2007-12-01
7921,39075,2008-01,39,6,39075/2008-01-01
7995,39075,2008-02,39,6,39075/2008-02-01
7855,39075,2008-03,39,6,39075/2008-03-01
7855,39075,2008-04,39,6,39075/2008-04-01
7832,39075,2008-05,39,6,39075/2008-05-01
7604,39075,2008-06,39,6,39075/2008-06-01
7723,39075,2008-07,39,6,39075/2008-07-01
7946,39075,2008-08,39,6,39075/2008-08-01
8442,39075,2008-09,39,6,39075/2008-09-01
9367,39075,2008-10,39,6,39075/2008-10-01
10326,39075,2008-11,39,6,39075/2008-11-01
10621,39075,2008-12,39,6,39075/2008-12-01
11420,39075,2009-01,39,6,39075/2009-01-01
11738,39075,2009-02,39,6,39075/2009-02-01
12200,39075,2009-03,39,6,39075/2009-03-01
12317,39075,2009-04,39,6,39075/2009-04-01
12070,39075,2009-05,39,6,39075/2009-05-01
11475,39075,2009-06,39,6,39075/2009-06-01
11159,39075,2009-07,39,6,39075/2009-07-01
11433,39075,2009-08,39,6,39075/2009-08-01
11986,39075,2009-09,39,6,39075/2009-09-01
12508,39075,2009-10,39,6,39075/2009-10-01
12966,39075,2009-11,39,6,39075/2009-11-01
13336,39075,2009-12,39,6,39075/2009-12-01
13714,39075,2010-01,39,6,39075/2010-01-01
14008,39075,2010-02,39,6,39075/2010-02-01
14076,39075,2010-03,39,6,39075/2010-03-01
14111,39075,2010-04,39,6,39075/2010-04-01
13699,39075,2010-05,39,6,39075/2010-05-01
12996,39075,2010-06,39,6,39075/2010-06-01
12438,39075,2010-07,39,6,39075/2010-07-01
12524,39075,2010-08,39,6,39075/2010-08-01
13014,39075,2010-09,39,6,39075/2010-09-01
13437,39075,2010-10,39,6,39075/2010-10-01
13504,39075,2010-11,39,6,39075/2010-11-01
13491,39075,2010-12,39,6,39075/2010-12-01
14058,39075,2011-01,39,6,39075/2011-01-01
14490,39075,2011-02,39,6,39075/2011-02-01
14763,39075,2011-03,39,6,39075/2011-03-01
14585,39075,2011-04,39,6,39075/2011-04-01
14100,39075,2011-05,39,6,39075/2011-05-01
13734,39075,2011-06,39,6,39075/2011-06-01
13249,39075,2011-07,39,6,39075/2011-07-01
13591,39075,2011-08,39,6,39075/2011-08-01
14055,39075,2011-09,39,6,39075/2011-09-01
14555,39075,2011-10,39,6,39075/2011-10-01
14681,39075,2011-11,39,6,39075/2011-11-01
14686,39075,2011-12,39,6,39075/2011-12-01
15527,39075,2012-01,39,6,39075/2012-01-01
16035,39075,2012-02,39,6,39075/2012-02-01
16224,39075,2012-03,39,6,39075/2012-03-01
16175,39075,2012-04,39,6,39075/2012-04-01
15988,39075,2012-05,39,6,39075/2012-05-01
15536,39075,2012-06,39,6,39075/2012-06-01
14994,39075,2012-07,39,6,39075/2012-07-01
15260,39075,2012-08,39,6,39075/2012-08-01
15683,39075,2012-09,39,6,39075/2012-09-01
16403,39075,2012-10,39,6,39075/2012-10-01
16705,39075,2012-11,39,6,39075/2012-11-01
16512,39075,2012-12,39,6,39075/2012-12-01
17147,39075,2013-01,39,6,39075/2013-01-01
17332,39075,2013-02,39,6,39075/2013-02-01
17322,39075,2013-03,39,6,39075/2013-03-01
17317,39075,2013-04,39,6,39075/2013-04-01
17095,39075,2013-05,39,6,39075/2013-05-01
16573,39075,2013-06,39,6,39075/2013-06-01
15398,39075,2013-07,39,6,39075/2013-07-01
15475,39075,2013-08,39,6,39075/2013-08-01
15896,39075,2013-09,39,6,39075/2013-09-01
16417,39075,2013-10,39,6,39075/2013-10-01
16509,39075,2013-11,39,6,39075/2013-11-01
16511,39075,2013-12,39,6,39075/2013-12-01
16859,39075,2014-01,39,6,39075/2014-01-01
16430,39075,2014-02,39,6,39075/2014-02-01
16165,39075,2014-03,39,6,39075/2014-03-01
15802,39075,2014-04,39,6,39075/2014-04-01
15518,39075,2014-05,39,6,39075/2014-05-01
14864,39075,2014-06,39,6,39075/2014-06-01
14387,39075,2014-07,39,6,39075/2014-07-01
14289,39075,2014-08,39,6,39075/2014-08-01
14598,39075,2014-09,39,6,39075/2014-09-01
15096,39075,2014-10,39,6,39075/2014-10-01
15406,39075,2014-11,39,6,39075/2014-11-01
14933,39075,2014-12,39,6,39075/2014-12-01
15149,39075,2015-01,39,6,39075/2015-01-01
14792,39075,2015-02,39,6,39075/2015-02-01
14670,39075,2015-03,39,6,39075/2015-03-01
14196,39075,2015-04,39,6,39075/2015-04-01
13914,39075,2015-05,39,6,39075/2015-05-01
13638,39075,2015-06,39,6,39075/2015-06-01
13477,39075,2015-07,39,6,39075/2015-07-01
13720,39075,2015-08,39,6,39075/2015-08-01
14055,39075,2015-09,39,6,39075/2015-09-01
14546,39075,2015-10,39,6,39075/2015-10-01
14622,39075,2015-11,39,6,39075/2015-11-01
14602,39075,2015-12,39,6,39075/2015-12-01
15160,39075,2016-01,39,6,39075/2016-01-01
15156,39075,2016-02,39,6,39075/2016-02-01
14530,39075,2016-03,39,6,39075/2016-03-01
14194,39075,2016-04,39,6,39075/2016-04-01
13850,39075,2016-05,39,6,39075/2016-05-01
13153,39075,2016-06,39,6,39075/2016-06-01
12601,39075,2016-07,39,6,39075/2016-07-01
12655,39075,2016-08,39,6,39075/2016-08-01
13081,39075,2016-09,39,6,39075/2016-09-01
13385,39075,2016-10,39,6,39075/2016-10-01
