value,location_id,date,province_id,autonomous_region_id,age_range,sex,_id
564,39075,2005-05,39,6,<25,H,39075/2005-05-01/<25/H
1913,39075,2005-05,39,6,>=45,M,39075/2005-05-01/>=45/M
499,39075,2005-05,39,6,25-44,H,39075/2005-05-01/25-44/H
1419,39075,2005-05,39,6,25-44,M,39075/2005-05-01/25-44/M
1771,39075,2005-05,39,6,>=45,H,39075/2005-05-01/>=45/H
2586,39075,2005-05,39,6,<25,M,39075/2005-05-01/<25/M
1831,39075,2005-06,39,6,>=45,M,39075/2005-06-01/>=45/M
562,39075,2005-06,39,6,<25,H,39075/2005-06-01/<25/H
1655,39075,2005-06,39,6,>=45,H,39075/2005-06-01/>=45/H
1399,39075,2005-06,39,6,25-44,M,39075/2005-06-01/25-44/M
478,39075,2005-06,39,6,25-44,H,39075/2005-06-01/25-44/H
2432,39075,2005-06,39,6,<25,M,39075/2005-06-01/<25/M
1608,39075,2005-07,39,6,>=45,H,39075/2005-07-01/>=45/H
407,39075,2005-07,39,6,25-44,H,39075/2005-07-01/25-44/H
2363,39075,2005-07,39,6,<25,M,39075/2005-07-01/<25/M
1369,39075,2005-07,39,6,25-44,M,39075/2005-07-01/25-44/M
1806,39075,2005-07,39,6,>=45,M,39075/2005-07-01/>=45/M
501,39075,2005-07,39,6,<25,H,39075/2005-07-01/<25/H
405,39075,2005-08,39,6,25-44,H,39075/2005-08-01/25-44/H
1585,39075,2005-08,39,6,>=45,H,39075/2005-08-01/>=45/H
1801,39075,2005-08,39,6,>=45,M,39075/2005-08-01/>=45/M
463,39075,2005-08,39,6,<25,H,39075/2005-08-01/<25/H
2322,39075,2005-08,39,6,<25,M,39075/2005-08-01/<25/M
1336,39075,2005-08,39,6,25-44,M,39075/2005-08-01/25-44/M
464,39075,2005-09,39,6,25-44,H,39075/2005-09-01/25-44/H
2350,39075,2005-09,39,6,<25,M,39075/2005-09-01/<25/M
1546,39075,2005-09,39,6,>=45,H,39075/2005-09-01/>=45/H
514,39075,2005-09,39,6,<25,H,39075/2005-09-01/<25/H
1321,39075,2005-09,39,6,25-44,M,39075/2005-09-01/25-44/M
1831,39075,2005-09,39,6,>=45,M,39075/2005-09-01/>=45/M
1350,39075,2005-10,39,6,25-44,M,39075/2005-10-01/25-44/M
474,39075,2005-10,39,6,25-44,H,39075/2005-10-01/25-44/H
1716,39075,2005-10,39,6,>=45,H,39075/2005-10-01/>=45/H
1884,39075,2005-10,39,6,>=45,M,39075/2005-10-01/>=45/M
2448,39075,2005-10,39,6,<25,M,39075/2005-10-01/<25/M
544,39075,2005-10,39,6,<25,H,39075/2005-10-01/<25/H
484,39075,2005-11,39,6,25-44,H,39075/2005-11-01/25-44/H
1357,39075,2005-11,39,6,25-44,M,39075/2005-11-01/25-44/M
1691,39075,2005-11,39,6,>=45,H,39075/2005-11-01/>=45/H
489,39075,2005-11,39,6,<25,H,39075/2005-11-01/<25/H
2435,39075,2005-11,39,6,<25,M,39075/2005-11-01/<25/M
1914,39075,2005-11,39,6,>=45,M,39075/2005-11-01/>=45/M
1897,39075,2005-12,39,6,>=45,M,39075/2005-12-01/>=45/M
1385,39075,2005-12,39,6,25-44,M,39075/2005-12-01/25-44/M
453,39075,2005-12,39,6,<25,H,39075/2005-12-01/<25/H
2368,39075,2005-12,39,6,<25,M,39075/2005-12-01/<25/M
431,39075,2005-12,39,6,25-44,H,39075/2005-12-01/25-44/H
1755,39075,2005-12,39,6,>=45,H,39075/2005-12-01/>=45/H
492,39075,2006-01,39,6,<25,H,39075/2006-01-01/<25/H
2619,39075,2006-01,39,6,<25,M,39075/2006-01-01/<25/M
1882,39075,2006-01,39,6,>=45,H,39075/2006-01-01/>=45/H
1993,39075,2006-01,39,6,>=45,M,39075/2006-01-01/>=45/M
499,39075,2006-01,39,6,25-44,H,39075/2006-01-01/25-44/H
1425,39075,2006-01,39,6,25-44,M,39075/2006-01-01/25-44/M
2573,39075,2006-02,39,6,<25,M,39075/2006-02-01/<25/M
503,39075,2006-02,39,6,<25,H,39075/2006-02-01/<25/H
2035,39075,2006-02,39,6,>=45,M,39075/2006-02-01/>=45/M
1804,39075,2006-02,39,6,>=45,H,39075/2006-02-01/>=45/H
499,39075,2006-02,39,6,25-44,H,39075/2006-02-01/25-44/H
1427,39075,2006-02,39,6,25-44,M,39075/2006-02-01/25-44/M
1733,39075,2006-03,39,6,>=45,H,39075/2006-03-01/>=45/H
2439,39075,2006-03,39,6,<25,M,39075/2006-03-01/<25/M
1377,39075,2006-03,39,6,25-44,M,39075/2006-03-01/25-44/M
462,39075,2006-03,39,6,25-44,H,39075/2006-03-01/25-44/H
499,39075,2006-03,39,6,<25,H,39075/2006-03-01/<25/H
1989,39075,2006-03,39,6,>=45,M,39075/2006-03-01/>=45/M
425,39075,2006-04,39,6,25-44,H,39075/2006-04-01/25-44/H
1969,39075,2006-04,39,6,>=45,M,39075/2006-04-01/>=45/M
1300,39075,2006-04,39,6,25-44,M,39075/2006-04-01/25-44/M
472,39075,2006-04,39,6,<25,H,39075/2006-04-01/<25/H
1640,39075,2006-04,39,6,>=45,H,39075/2006-04-01/>=45/H
2350,39075,2006-04,39,6,<25,M,39075/2006-04-01/<25/M
380,39075,2006-05,39,6,<25,H,39075/2006-05-01/<25/H
370,39075,2006-05,39,6,25-44,H,39075/2006-05-01/25-44/H
1929,39075,2006-05,39,6,>=45,M,39075/2006-05-01/>=45/M
1257,39075,2006-05,39,6,25-44,M,39075/2006-05-01/25-44/M
2218,39075,2006-05,39,6,<25,M,39075/2006-05-01/<25/M
1477,39075,2006-05,39,6,>=45,H,39075/2006-05-01/>=45/H
1344,39075,2006-06,39,6,>=45,H,39075/2006-06-01/>=45/H
1195,39075,2006-06,39,6,25-44,M,39075/2006-06-01/25-44/M
2073,39075,2006-06,39,6,<25,M,39075/2006-06-01/<25/M
362,39075,2006-06,39,6,<25,H,39075/2006-06-01/<25/H
1882,39075,2006-06,39,6,>=45,M,39075/2006-06-01/>=45/M
357,39075,2006-06,39,6,25-44,H,39075/2006-06-01/25-44/H
1819,39075,2006-07,39,6,>=45,M,39075/2006-07-01/>=45/M
329,39075,2006-07,39,6,<25,H,39075/2006-07-01/<25/H
1942,39075,2006-07,39,6,<25,M,39075/2006-07-01/<25/M
297,39075,2006-07,39,6,25-44,H,39075/2006-07-01/25-44/H
1314,39075,2006-07,39,6,>=45,H,39075/2006-07-01/>=45/H
1167,39075,2006-07,39,6,25-44,M,39075/2006-07-01/25-44/M
1338,39075,2006-08,39,6,>=45,H,39075/2006-08-01/>=45/H
1157,39075,2006-08,39,6,25-44,M,39075/2006-08-01/25-44/M
1957,39075,2006-08,39,6,<25,M,39075/2006-08-01/<25/M
317,39075,2006-08,39,6,<25,H,39075/2006-08-01/<25/H
315,39075,2006-08,39,6,25-44,H,39075/2006-08-01/25-44/H
1797,39075,2006-08,39,6,>=45,M,39075/2006-08-01/>=45/M
340,39075,2006-09,39,6,<25,H,39075/2006-09-01/<25/H
351,39075,2006-09,39,6,25-44,H,39075/2006-09-01/25-44/H
1338,39075,2006-09,39,6,>=45,H,39075/2006-09-01/>=45/H
1993,39075,2006-09,39,6,<25,M,39075/2006-09-01/<25/M
1155,39075,2006-09,39,6,25-44,M,39075/2006-09-01/25-44/M
1812,39075,2006-09,39,6,>=45,M,39075/2006-09-01/>=45/M
2075,39075,2006-10,39,6,<25,M,39075/2006-10-01/<25/M
350,39075,2006-10,39,6,<25,H,39075/2006-10-01/<25/H
1830,39075,2006-10,39,6,>=45,M,39075/2006-10-01/>=45/M
382,39075,2006-10,39,6,25-44,H,39075/2006-10-01/25-44/H
1362,39075,2006-10,39,6,>=45,H,39075/2006-10-01/>=45/H
1166,39075,2006-10,39,6,25-44,M,39075/2006-10-01/25-44/M
1359,39075,2006-11,39,6,>=45,H,39075/2006-11-01/>=45/H
1897,39075,2006-11,39,6,>=45,M,39075/2006-11-01/>=45/M
387,39075,2006-11,39,6,<25,H,39075/2006-11-01/<25/H
2062,39075,2006-11,39,6,<25,M,39075/2006-11-01/<25/M
1171,39075,2006-11,39,6,25-44,M,39075/2006-11-01/25-44/M
364,39075,2006-11,39,6,25-44,H,39075/2006-11-01/25-44/H
362,39075,2006-12,39,6,<25,H,39075/2006-12-01/<25/H
328,39075,2006-12,39,6,25-44,H,39075/2006-12-01/25-44/H
1447,39075,2006-12,39,6,>=45,H,39075/2006-12-01/>=45/H
1185,39075,2006-12,39,6,25-44,M,39075/2006-12-01/25-44/M
1910,39075,2006-12,39,6,>=45,M,39075/2006-12-01/>=45/M
2082,39075,2006-12,39,6,<25,M,39075/2006-12-01/<25/M
378,39075,2007-01,39,6,<25,H,39075/2007-01-01/<25/H
357,39075,2007-01,39,6,25-44,H,39075/2007-01-01/25-44/H
1500,39075,2007-01,39,6,>=45,H,39075/2007-01-01/>=45/H
2272,39075,2007-01,39,6,<25,M,39075/2007-01-01/<25/M
1244,39075,2007-01,39,6,25-44,M,39075/2007-01-01/25-44/M
1983,39075,2007-01,39,6,>=45,M,39075/2007-01-01/>=45/M
1434,39075,2007-02,39,6,>=45,H,39075/2007-02-01/>=45/H
2257,39075,2007-02,39,6,<25,M,39075/2007-02-01/<25/M
1246,39075,2007-02,39,6,25-44,M,39075/2007-02-01/25-44/M
2015,39075,2007-02,39,6,>=45,M,39075/2007-02-01/>=45/M
354,39075,2007-02,39,6,<25,H,39075/2007-02-01/<25/H
402,39075,2007-02,39,6,25-44,H,39075/2007-02-01/25-44/H
2184,39075,2007-03,39,6,<25,M,39075/2007-03-01/<25/M
334,39075,2007-03,39,6,<25,H,39075/2007-03-01/<25/H
1387,39075,2007-03,39,6,>=45,H,39075/2007-03-01/>=45/H
376,39075,2007-03,39,6,25-44,H,39075/2007-03-01/25-44/H
1244,39075,2007-03,39,6,25-44,M,39075/2007-03-01/25-44/M
2024,39075,2007-03,39,6,>=45,M,39075/2007-03-01/>=45/M
2066,39075,2007-04,39,6,<25,M,39075/2007-04-01/<25/M
1211,39075,2007-04,39,6,25-44,M,39075/2007-04-01/25-44/M
1991,39075,2007-04,39,6,>=45,M,39075/2007-04-01/>=45/M
366,39075,2007-04,39,6,25-44,H,39075/2007-04-01/25-44/H
1334,39075,2007-04,39,6,>=45,H,39075/2007-04-01/>=45/H
333,39075,2007-04,39,6,<25,H,39075/2007-04-01/<25/H
296,39075,2007-05,39,6,25-44,H,39075/2007-05-01/25-44/H
1975,39075,2007-05,39,6,>=45,M,39075/2007-05-01/>=45/M
1163,39075,2007-05,39,6,25-44,M,39075/2007-05-01/25-44/M
275,39075,2007-05,39,6,<25,H,39075/2007-05-01/<25/H
1226,39075,2007-05,39,6,>=45,H,39075/2007-05-01/>=45/H
1976,39075,2007-05,39,6,<25,M,39075/2007-05-01/<25/M
269,39075,2007-06,39,6,<25,H,39075/2007-06-01/<25/H
1140,39075,2007-06,39,6,25-44,M,39075/2007-06-01/25-44/M
1891,39075,2007-06,39,6,>=45,M,39075/2007-06-01/>=45/M
263,39075,2007-06,39,6,25-44,H,39075/2007-06-01/25-44/H
1207,39075,2007-06,39,6,>=45,H,39075/2007-06-01/>=45/H
1834,39075,2007-06,39,6,<25,M,39075/2007-06-01/<25/M
269,39075,2007-07,39,6,<25,H,39075/2007-07-01/<25/H
1774,39075,2007-07,39,6,<25,M,39075/2007-07-01/<25/M
1823,39075,2007-07,39,6,>=45,M,39075/2007-07-01/>=45/M
1230,39075,2007-07,39,6,>=45,H,39075/2007-07-01/>=45/H
1109,39075,2007-07,39,6,25-44,M,39075/2007-07-01/25-44/M
250,39075,2007-07,39,6,25-44,H,39075/2007-07-01/25-44/H
314,39075,2007-08,39,6,<25,H,39075/2007-08-01/<25/H
1789,39075,2007-08,39,6,<25,M,39075/2007-08-01/<25/M
1126,39075,2007-08,39,6,25-44,M,39075/2007-08-01/25-44/M
1819,39075,2007-08,39,6,>=45,M,39075/2007-08-01/>=45/M
1346,39075,2007-08,39,6,>=45,H,39075/2007-08-01/>=45/H
252,39075,2007-08,39,6,25-44,H,39075/2007-08-01/25-44/H
1126,39075,2007-09,39,6,25-44,M,39075/2007-09-01/25-44/M
331,39075,2007-09,39,6,<25,H,39075/2007-09-01/<25/H
1815,39075,2007-09,39,6,<25,M,39075/2007-09-01/<25/M
283,39075,2007-09,39,6,25-44,H,39075/2007-09-01/25-44/H
1276,39075,2007-09,39,6,>=45,H,39075/2007-09-01/>=45/H
1830,39075,2007-09,39,6,>=45,M,39075/2007-09-01/>=45/M
358,39075,2007-10,39,6,<25,H,39075/2007-10-01/<25/H
1381,39075,2007-10,39,6,>=45,H,39075/2007-10-01/>=45/H
1139,39075,2007-10,39,6,25-44,M,39075/2007-10-01/25-44/M
1909,39075,2007-10,39,6,>=45,M,39075/2007-10-01/>=45/M
1892,39075,2007-10,39,6,<25,M,39075/2007-10-01/<25/M
320,39075,2007-10,39,6,25-44,H,39075/2007-10-01/25-44/H
1853,39075,2007-11,39,6,<25,M,39075/2007-11-01/<25/M
381,39075,2007-11,39,6,<25,H,39075/2007-11-01/<25/H
328,39075,2007-11,39,6,25-44,H,39075/2007-11-01/25-44/H
1152,39075,2007-11,39,6,25-44,M,39075/2007-11-01/25-44/M
1969,39075,2007-11,39,6,>=45,M,39075/2007-11-01/>=45/M
1446,39075,2007-11,39,6,>=45,H,39075/2007-11-01/>=45/H
1209,39075,2007-12,39,6,25-44,M,39075/2007-12-01/25-44/M
1546,39075,2007-12,39,6,>=45,H,39075/2007-12-01/>=45/H
1806,39075,2007-12,39,6,<25,M,39075/2007-12-01/<25/M
312,39075,2007-12,39,6,25-44,H,39075/2007-12-01/25-44/H
1951,39075,2007-12,39,6,>=45,M,39075/2007-12-01/>=45/M
387,39075,2007-12,39,6,<25,H,39075/2007-12-01/<25/H
2108,39075,2008-01,39,6,>=45,M,39075/2008-01-01/>=45/M
408,39075,2008-01,39,6,<25,H,39075/2008-01-01/<25/H
1668,39075,2008-01,39,6,>=45,H,39075/2008-01-01/>=45/H
341,39075,2008-01,39,6,25-44,H,39075/2008-01-01/25-44/H
1273,39075,2008-01,39,6,25-44,M,39075/2008-01-01/25-44/M
2123,39075,2008-01,39,6,<25,M,39075/2008-01-01/<25/M
1296,39075,2008-02,39,6,25-44,M,39075/2008-02-01/25-44/M
334,39075,2008-02,39,6,25-44,H,39075/2008-02-01/25-44/H
2147,39075,2008-02,39,6,<25,M,39075/2008-02-01/<25/M
1727,39075,2008-02,39,6,>=45,H,39075/2008-02-01/>=45/H
2073,39075,2008-02,39,6,>=45,M,39075/2008-02-01/>=45/M
418,39075,2008-02,39,6,<25,H,39075/2008-02-01/<25/H
2036,39075,2008-03,39,6,>=45,M,39075/2008-03-01/>=45/M
1300,39075,2008-03,39,6,25-44,M,39075/2008-03-01/25-44/M
424,39075,2008-03,39,6,<25,H,39075/2008-03-01/<25/H
329,39075,2008-03,39,6,25-44,H,39075/2008-03-01/25-44/H
2085,39075,2008-03,39,6,<25,M,39075/2008-03-01/<25/M
1681,39075,2008-03,39,6,>=45,H,39075/2008-03-01/>=45/H
424,39075,2008-04,39,6,<25,H,39075/2008-04-01/<25/H
1681,39075,2008-04,39,6,>=45,H,39075/2008-04-01/>=45/H
329,39075,2008-04,39,6,25-44,H,39075/2008-04-01/25-44/H
1300,39075,2008-04,39,6,25-44,M,39075/2008-04-01/25-44/M
2036,39075,2008-04,39,6,>=45,M,39075/2008-04-01/>=45/M
2085,39075,2008-04,39,6,<25,M,39075/2008-04-01/<25/M
1754,39075,2008-05,39,6,>=45,H,39075/2008-05-01/>=45/H
325,39075,2008-05,39,6,25-44,H,39075/2008-05-01/25-44/H
2002,39075,2008-05,39,6,<25,M,39075/2008-05-01/<25/M
1323,39075,2008-05,39,6,25-44,M,39075/2008-05-01/25-44/M
1997,39075,2008-05,39,6,>=45,M,39075/2008-05-01/>=45/M
431,39075,2008-05,39,6,<25,H,39075/2008-05-01/<25/H
1318,39075,2008-06,39,6,25-44,M,39075/2008-06-01/25-44/M
1923,39075,2008-06,39,6,>=45,M,39075/2008-06-01/>=45/M
427,39075,2008-06,39,6,<25,H,39075/2008-06-01/<25/H
1750,39075,2008-06,39,6,>=45,H,39075/2008-06-01/>=45/H
1894,39075,2008-06,39,6,<25,M,39075/2008-06-01/<25/M
292,39075,2008-06,39,6,25-44,H,39075/2008-06-01/25-44/H
446,39075,2008-07,39,6,<25,H,39075/2008-07-01/<25/H
267,39075,2008-07,39,6,25-44,H,39075/2008-07-01/25-44/H
1359,39075,2008-07,39,6,25-44,M,39075/2008-07-01/25-44/M
1797,39075,2008-07,39,6,>=45,H,39075/2008-07-01/>=45/H
1945,39075,2008-07,39,6,<25,M,39075/2008-07-01/<25/M
1909,39075,2008-07,39,6,>=45,M,39075/2008-07-01/>=45/M
1901,39075,2008-08,39,6,>=45,M,39075/2008-08-01/>=45/M
1378,39075,2008-08,39,6,25-44,M,39075/2008-08-01/25-44/M
2030,39075,2008-08,39,6,<25,M,39075/2008-08-01/<25/M
467,39075,2008-08,39,6,<25,H,39075/2008-08-01/<25/H
263,39075,2008-08,39,6,25-44,H,39075/2008-08-01/25-44/H
1907,39075,2008-08,39,6,>=45,H,39075/2008-08-01/>=45/H
514,39075,2008-09,39,6,<25,H,39075/2008-09-01/<25/H
2089,39075,2008-09,39,6,<25,M,39075/2008-09-01/<25/M
313,39075,2008-09,39,6,25-44,H,39075/2008-09-01/25-44/H
2098,39075,2008-09,39,6,>=45,H,39075/2008-09-01/>=45/H
1463,39075,2008-09,39,6,25-44,M,39075/2008-09-01/25-44/M
1965,39075,2008-09,39,6,>=45,M,39075/2008-09-01/>=45/M
2256,39075,2008-10,39,6,<25,M,39075/2008-10-01/<25/M
605,39075,2008-10,39,6,<25,H,39075/2008-10-01/<25/H
1587,39075,2008-10,39,6,25-44,M,39075/2008-10-01/25-44/M
388,39075,2008-10,39,6,25-44,H,39075/2008-10-01/25-44/H
2495,39075,2008-10,39,6,>=45,H,39075/2008-10-01/>=45/H
2036,39075,2008-10,39,6,>=45,M,39075/2008-10-01/>=45/M
2443,39075,2008-11,39,6,<25,M,39075/2008-11-01/<25/M
2115,39075,2008-11,39,6,>=45,M,39075/2008-11-01/>=45/M
698,39075,2008-11,39,6,<25,H,39075/2008-11-01/<25/H
1735,39075,2008-11,39,6,25-44,M,39075/2008-11-01/25-44/M
456,39075,2008-11,39,6,25-44,H,39075/2008-11-01/25-44/H
2879,39075,2008-11,39,6,>=45,H,39075/2008-11-01/>=45/H
3114,39075,2008-12,39,6,>=45,H,39075/2008-12-01/>=45/H
1864,39075,2008-12,39,6,25-44,M,39075/2008-12-01/25-44/M
402,39075,2008-12,39,6,25-44,H,39075/2008-12-01/25-44/H
2435,39075,2008-12,39,6,<25,M,39075/2008-12-01/<25/M
668,39075,2008-12,39,6,<25,H,39075/2008-12-01/<25/H
2138,39075,2008-12,39,6,>=45,M,39075/2008-12-01/>=45/M
2764,39075,2009-01,39,6,<25,M,39075/2009-01-01/<25/M
492,39075,2009-01,39,6,25-44,H,39075/2009-01-01/25-44/H
713,39075,2009-01,39,6,<25,H,39075/2009-01-01/<25/H
3265,39075,2009-01,39,6,>=45,H,39075/2009-01-01/>=45/H
1930,39075,2009-01,39,6,25-44,M,39075/2009-01-01/25-44/M
2256,39075,2009-01,39,6,>=45,M,39075/2009-01-01/>=45/M
532,39075,2009-02,39,6,25-44,H,39075/2009-02-01/25-44/H
2912,39075,2009-02,39,6,<25,M,39075/2009-02-01/<25/M
2300,39075,2009-02,39,6,>=45,M,39075/2009-02-01/>=45/M
719,39075,2009-02,39,6,<25,H,39075/2009-02-01/<25/H
3305,39075,2009-02,39,6,>=45,H,39075/2009-02-01/>=45/H
